Day,Hour,EventType,Probability,Duration [min],Flow rate [L/min],Sigma duration [min],Sigma flow rate [L/min],Probability_day
0,13:48,Bath,0.0275,10,14,2,2,0.5
0,14:00,Bath,0.0281,10,14,2,2,0.5
0,14:11,Bath,0.0286,10,14,2,2,0.5
0,14:24,Bath,0.0291,10,14,2,2,0.5
0,14:35,Bath,0.02955,10,14,2,2,0.5
0,14:48,Bath,0.0299,10,14,2,2,0.5
0,15:00,Bath,0.03025,10,14,2,2,0.5
0,15:11,Bath,0.0305,10,14,2,2,0.5
0,15:24,Bath,0.03075,10,14,2,2,0.5
0,15:35,Bath,0.0309,10,14,2,2,0.5
0,15:48,Bath,0.03095,10,14,2,2,0.5
0,16:00,Bath,0.031,10,14,2,2,0.5
0,16:11,Bath,0.03095,10,14,2,2,0.5
0,16:23,Bath,0.0309,10,14,2,2,0.5
0,16:36,Bath,0.03075,10,14,2,2,0.5
0,16:48,Bath,0.0305,10,14,2,2,0.5
0,17:00,Bath,0.03025,10,14,2,2,0.5
0,17:11,Bath,0.03245,10,14,2,2,0.5
0,17:23,Bath,0.0411,10,14,2,2,0.5
0,17:36,Bath,0.05065,10,14,2,2,0.5
0,17:48,Bath,0.06065,10,14,2,2,0.5
0,18:00,Bath,0.07065,10,14,2,2,0.5
0,18:11,Bath,0.08005,10,14,2,2,0.5
0,18:23,Bath,0.08825,10,14,2,2,0.5
0,18:36,Bath,0.0946,10,14,2,2,0.5
0,18:48,Bath,0.0986,10,14,2,2,0.5
0,19:00,Bath,0.1,10,14,2,2,0.5
0,19:11,Bath,0.0986,10,14,2,2,0.5
0,19:23,Bath,0.0946,10,14,2,2,0.5
0,19:36,Bath,0.08825,10,14,2,2,0.5
0,19:48,Bath,0.08005,10,14,2,2,0.5
0,20:00,Bath,0.07065,10,14,2,2,0.5
0,20:11,Bath,0.06065,10,14,2,2,0.5
0,20:23,Bath,0.05065,10,14,2,2,0.5
0,20:36,Bath,0.0411,10,14,2,2,0.5
0,20:48,Bath,0.03245,10,14,2,2,0.5
0,21:00,Bath,0.02495,10,14,2,2,0.5
0,21:11,Bath,0.01865,10,14,2,2,0.5
0,21:23,Bath,0.0151,10,14,2,2,0.5
0,21:36,Bath,0.0143,10,14,2,2,0.5
0,21:48,Bath,0.0135,10,14,2,2,0.5
0,22:00,Bath,0.01275,10,14,2,2,0.5
0,22:11,Bath,0.012,10,14,2,2,0.5
0,22:23,Bath,0.0113,10,14,2,2,0.5
0,22:36,Bath,0.01055,10,14,2,2,0.5
0,22:48,Bath,0.0099,10,14,2,2,0.5
0,23:00,Bath,0.00925,10,14,2,2,0.5
0,23:11,Bath,0.0086,10,14,2,2,0.5
0,23:23,Bath,0.008,10,14,2,2,0.5
0,23:36,Bath,0.00745,10,14,2,2,0.5
0,23:48,Bath,0.0069,10,14,2,2,0.5
0,00:00,Medium,0.02,2,6,2,2,1.0
0,00:12,Medium,0.02,2,6,2,2,1.0
0,00:24,Medium,0.02,2,6,2,2,1.0
0,00:36,Medium,0.02,2,6,2,2,1.0
0,00:48,Medium,0.02,2,6,2,2,1.0
0,01:00,Medium,0.02,2,6,2,2,1.0
0,01:11,Medium,0.02,2,6,2,2,1.0
0,01:23,Medium,0.02,2,6,2,2,1.0
0,01:36,Medium,0.02,2,6,2,2,1.0
0,01:48,Medium,0.02,2,6,2,2,1.0
0,02:00,Medium,0.02,2,6,2,2,1.0
0,02:12,Medium,0.02,2,6,2,2,1.0
0,02:23,Medium,0.02,2,6,2,2,1.0
0,02:36,Medium,0.02,2,6,2,2,1.0
0,02:47,Medium,0.02,2,6,2,2,1.0
0,03:00,Medium,0.02,2,6,2,2,1.0
0,03:12,Medium,0.02,2,6,2,2,1.0
0,03:23,Medium,0.023,2,6,2,2,1.0
0,03:36,Medium,0.0274,2,6,2,2,1.0
0,03:47,Medium,0.0322,2,6,2,2,1.0
0,04:00,Medium,0.0376,2,6,2,2,1.0
0,04:12,Medium,0.0436,2,6,2,2,1.0
0,04:24,Medium,0.0498,2,6,2,2,1.0
0,04:35,Medium,0.0564,2,6,2,2,1.0
0,04:47,Medium,0.0634,2,6,2,2,1.0
0,05:00,Medium,0.0704,2,6,2,2,1.0
0,05:12,Medium,0.0774,2,6,2,2,1.0
0,05:24,Medium,0.0842,2,6,2,2,1.0
0,05:35,Medium,0.0908,2,6,2,2,1.0
0,05:47,Medium,0.0968,2,6,2,2,1.0
0,06:00,Medium,0.1024,2,6,2,2,1.0
0,06:12,Medium,0.107,2,6,2,2,1.0
0,06:24,Medium,0.1108,2,6,2,2,1.0
0,06:35,Medium,0.1138,2,6,2,2,1.0
0,06:47,Medium,0.1154,2,6,2,2,1.0
0,07:00,Medium,0.1184,2,6,2,2,1.0
0,07:12,Medium,0.1184,2,6,2,2,1.0
0,07:24,Medium,0.1186,2,6,2,2,1.0
0,07:35,Medium,0.1188,2,6,2,2,1.0
0,07:47,Medium,0.1188,2,6,2,2,1.0
0,08:00,Medium,0.119,2,6,2,2,1.0
0,08:11,Medium,0.119,2,6,2,2,1.0
0,08:24,Medium,0.1192,2,6,2,2,1.0
0,08:35,Medium,0.1192,2,6,2,2,1.0
0,08:48,Medium,0.1194,2,6,2,2,1.0
0,09:00,Medium,0.1194,2,6,2,2,1.0
0,09:11,Medium,0.1194,2,6,2,2,1.0
0,09:24,Medium,0.1196,2,6,2,2,1.0
0,09:35,Medium,0.1196,2,6,2,2,1.0
0,09:48,Medium,0.1196,2,6,2,2,1.0
0,10:00,Medium,0.1198,2,6,2,2,1.0
0,10:11,Medium,0.1198,2,6,2,2,1.0
0,10:24,Medium,0.1198,2,6,2,2,1.0
0,10:35,Medium,0.1198,2,6,2,2,1.0
0,10:48,Medium,0.12,2,6,2,2,1.0
0,11:00,Medium,0.12,2,6,2,2,1.0
0,11:11,Medium,0.12,2,6,2,2,1.0
0,11:24,Medium,0.12,2,6,2,2,1.0
0,11:35,Medium,0.12,2,6,2,2,1.0
0,11:48,Medium,0.12,2,6,2,2,1.0
0,12:00,Medium,0.12,2,6,2,2,1.0
0,12:11,Medium,0.12,2,6,2,2,1.0
0,12:24,Medium,0.12,2,6,2,2,1.0
0,12:35,Medium,0.12,2,6,2,2,1.0
0,12:48,Medium,0.12,2,6,2,2,1.0
0,13:00,Medium,0.12,2,6,2,2,1.0
0,13:11,Medium,0.12,2,6,2,2,1.0
0,13:24,Medium,0.1198,2,6,2,2,1.0
0,13:35,Medium,0.1198,2,6,2,2,1.0
0,13:48,Medium,0.1198,2,6,2,2,1.0
0,14:00,Medium,0.1198,2,6,2,2,1.0
0,14:11,Medium,0.1196,2,6,2,2,1.0
0,14:24,Medium,0.1196,2,6,2,2,1.0
0,14:35,Medium,0.1196,2,6,2,2,1.0
0,14:48,Medium,0.1194,2,6,2,2,1.0
0,15:00,Medium,0.1194,2,6,2,2,1.0
0,15:11,Medium,0.1194,2,6,2,2,1.0
0,15:24,Medium,0.1192,2,6,2,2,1.0
0,15:35,Medium,0.1192,2,6,2,2,1.0
0,15:48,Medium,0.119,2,6,2,2,1.0
0,16:00,Medium,0.119,2,6,2,2,1.0
0,16:11,Medium,0.1188,2,6,2,2,1.0
0,16:23,Medium,0.1188,2,6,2,2,1.0
0,16:36,Medium,0.1186,2,6,2,2,1.0
0,16:48,Medium,0.1184,2,6,2,2,1.0
0,17:00,Medium,0.1184,2,6,2,2,1.0
0,17:11,Medium,0.1182,2,6,2,2,1.0
0,17:23,Medium,0.118,2,6,2,2,1.0
0,17:36,Medium,0.118,2,6,2,2,1.0
0,17:48,Medium,0.1178,2,6,2,2,1.0
0,18:00,Medium,0.1176,2,6,2,2,1.0
0,18:11,Medium,0.1174,2,6,2,2,1.0
0,18:23,Medium,0.1174,2,6,2,2,1.0
0,18:36,Medium,0.1172,2,6,2,2,1.0
0,18:48,Medium,0.117,2,6,2,2,1.0
0,19:00,Medium,0.1168,2,6,2,2,1.0
0,19:11,Medium,0.1166,2,6,2,2,1.0
0,19:23,Medium,0.1164,2,6,2,2,1.0
0,19:36,Medium,0.1162,2,6,2,2,1.0
0,19:48,Medium,0.116,2,6,2,2,1.0
0,20:00,Medium,0.1124,2,6,2,2,1.0
0,20:11,Medium,0.1092,2,6,2,2,1.0
0,20:23,Medium,0.1048,2,6,2,2,1.0
0,20:36,Medium,0.0998,2,6,2,2,1.0
0,20:48,Medium,0.094,2,6,2,2,1.0
0,21:00,Medium,0.0876,2,6,2,2,1.0
0,21:11,Medium,0.0808,2,6,2,2,1.0
0,21:23,Medium,0.0738,2,6,2,2,1.0
0,21:36,Medium,0.0668,2,6,2,2,1.0
0,21:48,Medium,0.0598,2,6,2,2,1.0
0,22:00,Medium,0.0532,2,6,2,2,1.0
0,22:11,Medium,0.0466,2,6,2,2,1.0
0,22:23,Medium,0.0406,2,6,2,2,1.0
0,22:36,Medium,0.0348,2,6,2,2,1.0
0,22:48,Medium,0.0298,2,6,2,2,1.0
0,23:00,Medium,0.025,2,6,2,2,1.0
0,23:11,Medium,0.021,2,6,2,2,1.0
0,23:23,Medium,0.02,2,6,2,2,1.0
0,23:36,Medium,0.02,2,6,2,2,1.0
0,23:48,Medium,0.02,2,6,2,2,1.0
0,00:00,Small,0.02,1,1,1,2,1.0
0,00:12,Small,0.02,1,1,1,2,1.0
0,00:24,Small,0.02,1,1,1,2,1.0
0,00:36,Small,0.02,1,1,1,2,1.0
0,00:48,Small,0.02,1,1,1,2,1.0
0,01:00,Small,0.02,1,1,1,2,1.0
0,01:11,Small,0.02,1,1,1,2,1.0
0,01:23,Small,0.02,1,1,1,2,1.0
0,01:36,Small,0.02,1,1,1,2,1.0
0,01:48,Small,0.02,1,1,1,2,1.0
0,02:00,Small,0.02,1,1,1,2,1.0
0,02:12,Small,0.02,1,1,1,2,1.0
0,02:23,Small,0.02,1,1,1,2,1.0
0,02:36,Small,0.02,1,1,1,2,1.0
0,02:47,Small,0.02,1,1,1,2,1.0
0,03:00,Small,0.02,1,1,1,2,1.0
0,03:12,Small,0.02,1,1,1,2,1.0
0,03:23,Small,0.023,1,1,1,2,1.0
0,03:36,Small,0.0274,1,1,1,2,1.0
0,03:47,Small,0.0322,1,1,1,2,1.0
0,04:00,Small,0.0376,1,1,1,2,1.0
0,04:12,Small,0.0436,1,1,1,2,1.0
0,04:24,Small,0.0498,1,1,1,2,1.0
0,04:35,Small,0.0564,1,1,1,2,1.0
0,04:47,Small,0.0634,1,1,1,2,1.0
0,05:00,Small,0.0704,1,1,1,2,1.0
0,05:12,Small,0.0774,1,1,1,2,1.0
0,05:24,Small,0.0842,1,1,1,2,1.0
0,05:35,Small,0.0908,1,1,1,2,1.0
0,05:47,Small,0.0968,1,1,1,2,1.0
0,06:00,Small,0.1024,1,1,1,2,1.0
0,06:12,Small,0.107,1,1,1,2,1.0
0,06:24,Small,0.1108,1,1,1,2,1.0
0,06:35,Small,0.1138,1,1,1,2,1.0
0,06:47,Small,0.1154,1,1,1,2,1.0
0,07:00,Small,0.1184,1,1,1,2,1.0
0,07:12,Small,0.1184,1,1,1,2,1.0
0,07:24,Small,0.1186,1,1,1,2,1.0
0,07:35,Small,0.1188,1,1,1,2,1.0
0,07:47,Small,0.1188,1,1,1,2,1.0
0,08:00,Small,0.119,1,1,1,2,1.0
0,08:11,Small,0.119,1,1,1,2,1.0
0,08:24,Small,0.1192,1,1,1,2,1.0
0,08:35,Small,0.1192,1,1,1,2,1.0
0,08:48,Small,0.1194,1,1,1,2,1.0
0,09:00,Small,0.1194,1,1,1,2,1.0
0,09:11,Small,0.1194,1,1,1,2,1.0
0,09:24,Small,0.1196,1,1,1,2,1.0
0,09:35,Small,0.1196,1,1,1,2,1.0
0,09:48,Small,0.1196,1,1,1,2,1.0
0,10:00,Small,0.1198,1,1,1,2,1.0
0,10:11,Small,0.1198,1,1,1,2,1.0
0,10:24,Small,0.1198,1,1,1,2,1.0
0,10:35,Small,0.1198,1,1,1,2,1.0
0,10:48,Small,0.12,1,1,1,2,1.0
0,11:00,Small,0.12,1,1,1,2,1.0
0,11:11,Small,0.12,1,1,1,2,1.0
0,11:24,Small,0.12,1,1,1,2,1.0
0,11:35,Small,0.12,1,1,1,2,1.0
0,11:48,Small,0.12,1,1,1,2,1.0
0,12:00,Small,0.12,1,1,1,2,1.0
0,12:11,Small,0.12,1,1,1,2,1.0
0,12:24,Small,0.12,1,1,1,2,1.0
0,12:35,Small,0.12,1,1,1,2,1.0
0,12:48,Small,0.12,1,1,1,2,1.0
0,13:00,Small,0.12,1,1,1,2,1.0
0,13:11,Small,0.12,1,1,1,2,1.0
0,13:24,Small,0.1198,1,1,1,2,1.0
0,13:35,Small,0.1198,1,1,1,2,1.0
0,13:48,Small,0.1198,1,1,1,2,1.0
0,14:00,Small,0.1198,1,1,1,2,1.0
0,14:11,Small,0.1196,1,1,1,2,1.0
0,14:24,Small,0.1196,1,1,1,2,1.0
0,14:35,Small,0.1196,1,1,1,2,1.0
0,14:48,Small,0.1194,1,1,1,2,1.0
0,15:00,Small,0.1194,1,1,1,2,1.0
0,15:11,Small,0.1194,1,1,1,2,1.0
0,15:24,Small,0.1192,1,1,1,2,1.0
0,15:35,Small,0.1192,1,1,1,2,1.0
0,15:48,Small,0.119,1,1,1,2,1.0
0,16:00,Small,0.119,1,1,1,2,1.0
0,16:11,Small,0.1188,1,1,1,2,1.0
0,16:23,Small,0.1188,1,1,1,2,1.0
0,16:36,Small,0.1186,1,1,1,2,1.0
0,16:48,Small,0.1184,1,1,1,2,1.0
0,17:00,Small,0.1184,1,1,1,2,1.0
0,17:11,Small,0.1182,1,1,1,2,1.0
0,17:23,Small,0.118,1,1,1,2,1.0
0,17:36,Small,0.118,1,1,1,2,1.0
