datetime,temperature_2m,surface_pressure,wind_speed_100m,wind_direction_100m
2019-01-03 09:15:00+01:00,-3.493,1003.823875,3.197944,292.030448
2019-01-03 09:30:00+01:00,-3.193,1003.88505,3.041785,287.495925
2019-01-03 09:45:00+01:00,-2.893,1003.946225,2.885627,282.961402
2019-01-03 10:00:00+01:00,-2.593,1004.0074,2.729469,278.42688
2019-01-03 10:15:00+01:00,-2.3055,1003.99406,2.699022,277.419815
2019-01-03 10:30:00+01:00,-2.018,1003.98072,2.668575,276.41275
2019-01-03 10:45:00+01:00,-1.7305,1003.96738,2.638128,275.405685
2019-01-03 11:00:00+01:00,-1.443,1003.95404,2.607681,274.39862
2019-01-03 11:15:00+01:00,-1.1055,1003.777038,2.757322,274.19303
2019-01-03 11:30:00+01:00,-0.768,1003.600035,2.906962,273.98744
2019-01-03 11:45:00+01:00,-0.4305,1003.423032,3.056603,273.78185
2019-01-03 12:00:00+01:00,-0.093,1003.24603,3.206244,273.57626
2019-01-03 12:15:00+01:00,0.182,1003.157948,3.601815,279.858655
2019-01-03 12:30:00+01:00,0.457,1003.069865,3.997386,286.14105
2019-01-03 12:45:00+01:00,0.732,1002.981782,4.392957,292.423445
2019-01-03 13:00:00+01:00,1.007,1002.8937,4.788528,298.70584
2019-01-03 13:15:00+01:00,1.1195,1002.761935,5.161427,300.83811
2019-01-03 13:30:00+01:00,1.232,1002.63017,5.534327,302.97038
2019-01-03 13:45:00+01:00,1.3445,1002.498405,5.907227,305.10265
2019-01-03 14:00:00+01:00,1.457,1002.36664,6.280127,307.23492
2019-01-03 14:15:00+01:00,1.3695,1002.380405,6.248154,309.01157
2019-01-03 14:30:00+01:00,1.282,1002.39417,6.216181,310.78822
2019-01-03 14:45:00+01:00,1.1945,1002.407935,6.184208,312.56487
2019-01-03 15:00:00+01:00,1.107,1002.4217,6.152236,314.34152
2019-01-03 15:15:00+01:00,0.957,1002.50065,6.134456,314.506165
2019-01-03 15:30:00+01:00,0.807,1002.5796,6.116677,314.67081
2019-01-03 15:45:00+01:00,0.657,1002.65855,6.098898,314.835455
2019-01-03 16:00:00+01:00,0.507,1002.7375,6.081119,315.0001
2019-01-03 16:15:00+01:00,0.1695,1002.6485,6.17329,311.18627
2019-01-03 16:30:00+01:00,-0.168,1002.5595,6.265462,307.37244
2019-01-03 16:45:00+01:00,-0.5055,1002.4705,6.357634,303.55861
2019-01-03 17:00:00+01:00,-0.843,1002.3815,6.449806,299.74478
2019-01-03 17:15:00+01:00,-1.043,1002.381508,6.422638,301.797155
2019-01-03 17:30:00+01:00,-1.243,1002.381515,6.395471,303.84953
2019-01-03 17:45:00+01:00,-1.443,1002.381522,6.368303,305.901905
2019-01-03 18:00:00+01:00,-1.643,1002.38153,6.341136,307.95428
2019-01-03 18:15:00+01:00,-1.7055,1002.373963,6.353115,310.985622
2019-01-03 18:30:00+01:00,-1.768,1002.366395,6.365094,314.016965
2019-01-03 18:45:00+01:00,-1.8305,1002.358828,6.377074,317.048308
2019-01-03 19:00:00+01:00,-1.893,1002.35126,6.389053,320.07965
2019-01-03 19:15:00+01:00,-1.893,1002.375445,6.400555,318.967118
