day,time,event,probability,duration,flow_rate,sigma_duration,sigma_flow_rate
0,10:11:00,bath,0.007,600,0.233,120,0.033
0,10:24:00,bath,0.007,600,0.233,120,0.033
0,10:35:00,bath,0.008,600,0.233,120,0.033
0,10:48:00,bath,0.008,600,0.233,120,0.033
0,11:00:00,bath,0.008,600,0.233,120,0.033
0,11:11:00,bath,0.009,600,0.233,120,0.033
0,11:24:00,bath,0.009,600,0.233,120,0.033
0,11:35:00,bath,0.01,600,0.233,120,0.033
0,11:48:00,bath,0.01,600,0.233,120,0.033
0,12:00:00,bath,0.01,600,0.233,120,0.033
0,12:11:00,bath,0.011,600,0.233,120,0.033
0,12:24:00,bath,0.011,600,0.233,120,0.033
0,12:35:00,bath,0.012,600,0.233,120,0.033
0,12:48:00,bath,0.012,600,0.233,120,0.033
0,13:00:00,bath,0.012,600,0.233,120,0.033
0,13:11:00,bath,0.013,600,0.233,120,0.033
0,13:24:00,bath,0.013,600,0.233,120,0.033
0,13:35:00,bath,0.013,600,0.233,120,0.033
0,13:48:00,bath,0.014,600,0.233,120,0.033
0,14:00:00,bath,0.014,600,0.233,120,0.033
0,14:11:00,bath,0.014,600,0.233,120,0.033
0,14:24:00,bath,0.015,600,0.233,120,0.033
0,14:35:00,bath,0.015,600,0.233,120,0.033
0,14:48:00,bath,0.015,600,0.233,120,0.033
0,15:00:00,bath,0.015,600,0.233,120,0.033
0,15:11:00,bath,0.015,600,0.233,120,0.033
0,15:24:00,bath,0.015,600,0.233,120,0.033
0,15:35:00,bath,0.015,600,0.233,120,0.033
0,15:48:00,bath,0.015,600,0.233,120,0.033
0,16:00:00,bath,0.016,600,0.233,120,0.033
0,16:11:00,bath,0.015,600,0.233,120,0.033
0,16:23:00,bath,0.015,600,0.233,120,0.033
0,16:36:00,bath,0.015,600,0.233,120,0.033
0,16:48:00,bath,0.015,600,0.233,120,0.033
0,17:00:00,bath,0.015,600,0.233,120,0.033
0,17:11:00,bath,0.016,600,0.233,120,0.033
0,17:23:00,bath,0.021,600,0.233,120,0.033
0,17:36:00,bath,0.025,600,0.233,120,0.033
0,17:48:00,bath,0.03,600,0.233,120,0.033
0,18:00:00,bath,0.035,600,0.233,120,0.033
0,18:11:00,bath,0.04,600,0.233,120,0.033
0,18:23:00,bath,0.044,600,0.233,120,0.033
0,18:36:00,bath,0.047,600,0.233,120,0.033
0,18:48:00,bath,0.049,600,0.233,120,0.033
0,19:00:00,bath,0.05,600,0.233,120,0.033
